,Message,Tag
20,"مژده     مژده
حراج نوروزی بوتیک پائول.16متری سمیه نبش کوچه نهم  boutique_paul@",Spam
21,"مژده
پیش فروش خودروی رنو کپچر وارداتی 2018 نیوفیس در نمایندگی دلشاد رشت 01334991",Spam
22,"تازمان قرعه کشی جوایز خوش حسابی یک هفته باقیست.ازطریق تلفن همراه باشماره گیری 1522قبض آب را پرداخت نمایید.
شرکت آب و فاضلاب گیلان",Spam
23,"تخفیف واقعی
سوپرایز ویژه""مبل سعید""برای ایام آخرسال
رشت خ.تختی
33229695",Spam
24,"تخفیف واقعی
سوپرایز ویژه""مبل سعید""برای ایام آخرسال
رشت خ.تختی
33229695",Spam
25,پوشاك روگاچي 2روز تا80% بیستون سر معلم روبرو مسجد Telegram.me/rugatchi,Spam
26,"اطلاعیه 
مشترک  گرامی به شماره 9112375916، درصورتی که هنوز موفق به نصب اپلیکیشن شمیم سلامتی نشده اید،(لطفا)با مراجعه به دفاتر پیشخوان دولت در سراسر کشور  و یا از طریق لینک زیر اقدام فرمایید.
https://goo.gl/sV8bvs
پشتیبانی:02175416205",Spam
27,"کاشت مو و ابرو
شرایط ویژه پرداخت
اسفند96
کلینیک ایران فیت
02122223030",Spam
28,"هموطن گرامی به شماره 9112375916، لطفا سرویس نسخه الکترونیک خود را با ارسال عدد ۳۰۰ در پاسخ به همین شماره فعال کنید.
هدیه عضویت تا پایان اسفندماه، شرکت در قرعه کشی یک دستگاه اسپورتیج می باشد.",Spam
29,"درمان قطعی پسوریازیس وبیماریهای پوستی 
0١٣٣٣١١٥٨٠١
t.me/mamdarooNgilan",Spam
30,"هر شب قرعه کشی یک خودرو
هر روز کلی تخفیف استثنایی
با عضویت در کانال تلگرامی فروشگاه رفاه، هیچ تخفیفی را از دست ندهید.
برای عضویت لینک زیر را لمس کنید:
https://t.me/refah_chain_stores",Spam
31,"تولیدی مبل نیما
تعمیرات تخصصی
سفارش خاص مبل پذیرفته میشود.
09113486115",Spam
32,"فروش فوق العاده شهر كت وشلوار
٢٩٥٠٠٠ و ٣٩٥٠٠٠ تومان
بلوارمعلم
٣٣٢٤٥٥٤٨",Spam
33,فروش فوق العاده-بدون افزایش قیمت مسکن مهر رشت-آریانورپویا-02126208619,Spam
34,"فروشگاه فرش پازيريک
وام بدون بهره،قيمت رقابتي
رشت گلباغنماز01333727726",Spam
35,نمایشگاه فرش دستباف (فرش جلالی) فقط تا۱۱اسفند رشت،جاده خمام،تالارسلطان,Spam
36,"نمايشگاه خانه مدرن(لوازم خانگي،مبل،فرش،لوستر)
7-11اسفند
نمايشگاه رشت",Spam
37,تخفیف ویژه،تسهیلات بدون ضامن و تحویل فوری محصولات درجشنواره فروش نوروزی سایپا.کسب اطلاعات بیشتر در وب سایت و نمایندگیها,Spam
38,"نوروز 97
تور جذاب آفریقا

تخفیف ویژه

کاملترین گشت

ستاره ونک
02142309",Spam
39,"ویژه نوروز97
تور زمینی باکو
اقامت در هتل 5 ستاره تاپ
آژانس توحید گلسار
33122222",Spam
40,"توجه توجه
فروش فوری
 خودروهای رنو تالیسمان و کولئوس مدل ۲۰۱۸
باقیمت قطعی
رشت خیابان شهدا
تلفن : ۰۱۳۳۴۹۹۱",Spam
41,"تور ۲شب و ۳ روز مشهد 
با پرواز رفت و برگشت
۲ شب اقامت در هتل باصبحانه،ناهار و شام
فقط ۴۵۰ تومان

تلفن تماس جهت رزرو 
۰۲۱۷۵۳۳۰
داخلی۸
۰۹۱۲۰۳۷۱۶۱۲",Spam
42,"تورمشهدهوایی ازرشت
4روز380تومان
کیش770
عیدمشهد750
ستاره گشت01333122015",Spam
43,"نمايشگاه
فرش وتابلوفرش دستبافت
3تا11اسفند
رشت
جاده خمام
تالار سلطان ",Spam
44,"مشترك محترم
ثبت نام بیمه درمان تكمیلی SOS
به تعداد محدود
*707*1*1#",Spam
45,"14اسفند96اولین قرعه کشی جشنواره خوش حسابی همراه اول(ویژه مشترکین گیلانی)
یک دستگاه خودرو206
چندین دستگاه تبلت و میلیون هاریال وجه نقد.
باپرداخت صورتحساب تلفن همراه دائمی خودویابدهی تلفنهای قطع شده بصورت اقساط ازجوایز به قید قرعه برخوردار شوید.
با تشکر""همراه اول گیلان""",Spam
46,"نوروز 97
تور لوکس آفریقا

تخفیف ویژه
بهترین گشت ها

ستاره ونک
0214230",Spam
47,وراوکراین3390 تایلند2340مالزی2050 آنتالیا1390ت02154642 Gardeshnoor.ir,Spam
48,"مجتمع ساحلي شهرداري رضوانشهر
بهترين مكان اردوهاي دانش آموزي
جنگ شادي-شهربازي-نهار-فست فود
09111385404
https://t.me/tarhsahelirez1shah",Spam
49,"نسرت گيلان فرزاد فرزين
21فروردين
تالارگلستان
خريد از:
iranconcert.com",Spam
50,"16فروردین وعیدي تاپ!
پخش زنده قرعه کشی 14جایزه 1میلیونی مانده گیری
فرداساعت11 اینستاگرام جدیدتاپ
https://www.instagram.com/top.application
",Spam
51,"اپلیکیشن رامبدبان
عضویت در این سرویس را می توانید با ارسال L لغو نمایید.
برای عضویت مجدد عدد 1 را به همین شماره ارسال نمایید.
برگزار کننده: دانادل
",Spam
52,"کاربر گرامی
 کد تخفیف شما:
 ۱۰ هزارتومان تخفیف برای خریدهای بیشتر از ۱۰۰ هزار تومان
:
 game4EE6E711

 https://www.digikala.com",Spam
53,"""روبيکا"" با اينترنت رايگان براي همراه اول و ايرانسلي ها.
شرکت در قرعه کشي سه دستگاه خودروي سراتو
لينک نصب:
https://goo.gl/pdUUkm",Spam
54,"افزایش جوایز !
14 جایزه 1 میلیونی به جای 7 جایزه با مانده گیری با اپلیکیشن تاپ!
در عید مانده بگیرید و 16 فروردین عیدی
t.me/topfestival
",Spam
55,"آخرین روز !
7 جایزه  1میلیونی ویژه مانده گیری با اپلیکیشن تاپ 
فقط  تاساعت 24 امشب
پخش زنده قرعه کشی فردا از اینستاگرام
t.me/topfestival
",Spam
56,"همایش دوران جمعبندی ارشد مكانیك (رایگان)
تهران جمعه 25 اسفند ساعت 13-11
همراه با پذیرایی و عیدی پارسه
رزرو: ارسال 7 به 02184388
پارسه",Spam
57,"عیدي تاپ!
7 هدیه نقدي 1میلیونی ویژه مانده گیري با اپلیکیشن تاپ
باتاپ موجودي وعیدي بگیرید
از همین حالا تا 28 اسفند
t.me/topfestival
",Spam
58,"درمان قطعی سفیدی مو
باتخفیف60درصدی
فقط امروز120هزارتومان
مشاوره=ارسال3",Spam
59,"درمان قطعی سفیدی مو
باتخفیف60درصدی
فقط امروز120هزارتومان
مشاوره=ارسال3",Spam
60,"50درصدتخفیف،ویژه روزمادر
رویش مجددمو ودرمان ریزش باژیوار
مشاوره=ارسال1",Spam
61,"رویش مجدد مو و درمان ریزش با تخفیف 50 درصدی
مشاوره=ارسال 1
لغو=off",Spam
62,"كنسرت رشت شهاب مظفري
21 اسفند
تالارگلستان
خريد از:
iranconcert.com",Spam
63,"مارال چرم
تا50%تخفیف+5%اعتبار
گلسار،نبش خ 108
https://t.me/mlco_ir",Spam
64,"پک ویژه ضدریزش ورویش مجددژیوار
با140هزارتومان تخفیف نقدی
سفارش=ارسال11",Spam
65,"دریافت مدرک معادل*کاردانی-دکتری*
تاییدارشاد+اتحادیه اروپا
02126420339",Spam
66,"كنسرت رشت سينا شعبانخاني
9 اسفند
تالارمجلل
خريد از:
iranconcert.com",Spam
67,"3روزتا قرعه کشی صدمیلیونی آپ
تراکنش بیشتر=شانس بیشتر
http://733.ir",Spam
68,"اپلیکیشن رامبدبان
عضویت در این سرویس را می توانید با ارسال L لغو نمایید.
برای عضویت مجدد عدد 1 را به همین شماره ارسال نمایید.
برگزار کننده: دانادل
",Spam
69,"آخرین قدم را مطمئن بردارید
كلاسهای نكته و تست مكانیك ارشد97
كسب اطلاعات:
كانال: goo.gl/Yq6N2z 
یا ارسال عدد 7 به 02184388
پارس",Spam
70,"روش ویژه سیم کارت دائمی همراه اول 
با مبلغ استثنایی ۱۰۰ هزار تومان
خرید و فعال سازی در کلیه دفاتر و فروشگاه های همراه اول و یا سامانه گلچین به نشانی:
https://sim.mci.ir",Spam
71,"اسنپی عزیز،

سفارش غذا به سبک اسنپ

با اپلیکیشن اسنپ فود  غذای خود را آنلاین و ارزانتر  سفارش دهید

10000 تومان تخفیف برای اولین سفارش شما از اسنپ فود

کد تخفیف: SPV10C5y4qkvv

مهلت استفاده:  فقط تا پایان فردا

نصب ios: https://app.adjust.com/e6qlkf4

نصب از کافه بازار: https://app.adjust.com/n3rbs8a",Spam
72,"حتما بفرست
بدو کد ۵۰۶۶۳ روبه ۴۰۵۵۷۵ بفرس۲۵۰هزارتومن نقد از آواتل بگیر",Spam
73,با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.درصورت استفاده این پیام را نادیده بگیرید ,Spam
74,"بانه
ارسال كولر گازي اوجنرال 
تحويل درب منزل
09128398404
08734241949",Spam
75,"تور مشهد هوایی
4روز 550ت
کیش5روز620ت
تفلیس1.190ت
ستاره گشت01333122015",Spam
76,"تفلیس ۹۹۰
کوش آداسی ۱۹۵۰
آنتالیا ۱۹۹۰

ملودی پرواز 02122882027",Spam
77,"کاشت مو*ابرو
شرایط ویژه پرداخت تابستان 97
کلینیک ایران فیت
02122223030",Spam
78,"❤️بانه❤️
پخش کولرگازی
نصب رایگان
تحویل رایگان
٠٩١٨٤١٨٩٧٤٦
٠٩١٨٩٨٥٠٩٥٨",Spam
79,با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.درصورت استفاده این پیام را نادیده بگیرید,Spam
80,"باتوجه به بازی فوتبال مقابل اسپانیا،ایا تیم ملی راشایسته بردمی دانستید؟
۱بله
۲خیر
عدد گزینه مورد نظرتان را به ۲۰۱۸رایگان ارسال فرمایید",Spam
81,دبیرستان قدس سپاه با امکانات ویژه ، دانش آموز مستعد میپذیرد. 33334962,Spam
82,"کولرگازی ولوازم خانگی 
ارسال رایگان ازبانه بوش
09028421926
09028421927",Spam
83,"اشکوری*نقدواقساط
باکو
وان
ارمنستان
01333330555
T.ME/ESHKEVARITOUR",Spam
84,"❤️بانه❤️
پخش کولرگازی
تخفیف ویژه برد تیم ملی
٠٩١٨٤١٨٩٧٤٦
٠٩١٨٩٨٥٠٩٥٨",Spam
85,با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.درصورت استفاده این پیام را نادیده بگیرید,Spam
86,"خط شمامنتخب جشنواره بهاره به همراه سکه طلاشده
تماس
۰۲۱۶۶۳۸۱۶۲۱
کد۵۶۹۳",Spam
87,با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.درصورت استفاده این پیام را نادیده بگیرید,Spam
88,کارشناسی ارشد دانشگاه دولتی بدون کنکور (کلیه رشته ها)٠1333551507,Spam
89,فوق لیسانس بدون کنکور دانشگاه سراسری 01333362550,Spam
90,"سلام
بخاطر برد ایران ۴۱۶۲۲ روبه ۴۰۵۵۷۵بفرست۲۵هزارتومن شارژ آواتل بگیر",Spam
91,"Alireza Nasirzadeh عزیز

چیلی کاپ چیلیوری و نت برگ

۲۵ روز جام جهانی ۲۵ اپل‌واچ

کلی کد تخفیف 

پیش بینی کن

https://goo.gl/KqHmPY",Spam
92,"پیروزی افتخارآفرین ملی پوشان فوتبال ایران را به تمامی شما عزیزان تبریک می گوییم.
ایرانسل",Spam
93,"آيفون 8
جايزه تو که جيرينگي شارژ مي خري!
دانلود:
http://jiri.ng/dl",Spam
94,"🌾​خوشه گندمی در بهشت!
در اینجا ببینید 👇🏻
http://bit.ly/Behesht",Spam
95,"نخستین همایش طراحی تعاملی ۳۱ خرداد در دانشگاه گیلان، برگزار خواهد شد. 

برای اطلاعات بیشتر و ثبت‌نام:
http://ixdevent.ir/

کد تخفیف زیر بابت قدردانی از حضور شماست (محدود)
zeeva",Spam
96,"نخستین همایش طراحی تعاملی ۳۱ خرداد در دانشگاه گیلان، برگزار خواهد شد. 

برای اطلاعات بیشتر و ثبت‌نام:
ixdevent.ir

کد تخفیف زیر بابت قدردانی از حضور شماست (محدود)
zeeva",Spam
97,با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.درصورت استفاده این پیام را نادیده بگیرید,Spam
98,"آفر عید فطر
ایمپلنت (کاشت دندان)
فرانسوی اصل
1،195 تومان
+981333123208",Spam
99,"آفر فطر
ایمپلنت(کاشت دندان)
فرانسوی اصل
1،195 هزار تومان
+981333123208",Spam
100,"فوق لیسانس بدون کنکوردروس کارشناسی(ویژه شاغلین-کل رشته ها)
01333226200",Spam
101,"سلام،خوبی
سریع ۶۵۴۴۸ روبه ۴۰۵۵۷۵بفرست،۲۵۰هزارتومن از آواتل شارژ بگیر",Spam
102,"تا ۵۰٪ تخفیف 
درجشنواره دیجی‌کالا
فقط از طریق اپلیکیشن

dgka.la/appcam",Spam
103,"آفراستانبول1.440
آنتالیا*5 2.850
تفلیس1.270
ستاره گشت گلسار01333122016",Spam
104,"پذیرش کارشناسی ارشد با
بورسیه تحصیلی
وام شهریه
دانشگاه شریف پردیس کیش
66165041
kish.sharif.edu
@kish_sharif_edu",Spam
105,"وفادار عزیز نامداران سرخ!
فقط 15 روز تا انتخاب 10 تیم پرتماشاگر جهان فرصت باقیست...
طرفدارهای ارتش سرخ آسیا دارن با هوادارای منچستر رقابت می کنن
همین حالا عدد 7 رو بفرست تا هم کلی جایزه برنده بشی و هم از بقیه تیم ها جا نمونیم...

#من_هم_عضو_309090_هستم",Spam
106,"پذیرش کارشناسی ارشد با
بورسیه تحصیلی
وام شهریه
دانشگاه شریف پردیس کیش
66165041
kish.sharif.edu
@kish_sharif_edu",Spam
107,"اشکوری
باکو
وان
ارمنستان
شیراز
سرعین
01333330555
T.ME/ESHKEVARITOUR",Spam
108,"تورمشهدهوایی از رشت
4روز410ت
کیش5روز580
گشت جزیره
ستاره گشت01333122015",Spam
109,"مركز درماني محترم، با سلام. به اطلاع مي رساند سازمان خدمات درماني ن.م. بابت مطالبات اسناد: ويزيت پزشك شهريور ماه سال 1396 مبلغ 543,830 ريال و ويزيت پزشك اسفند ماه سال 1396 مبلغ 466,140 ريال در تاريخ 1397/03/02 جهت واريز به شماره شبا IR900150000000200301510208 به بانك ارسال نموده است.",Spam
110,"🌙 هدیه زائر به شما شیعه اهل بیت علیهم السلام در ماه مبارک رمضان؛ دسترسی رایگان به قرآن،نهج البلاغه و ادعیه هوشمند.
همین الان هدیه ​🎁​ خود را از لینک زیر دریافت نمایید.

http://bit.ly/Zaer-Ramazan",Spam
111,"شارژ ۱۰۰۰۰ ریالی رایگان! 
هدیه ویژه سرویس تناسب اندام سیبا به شما مشترک منتخب.
برای دریافت شارژ هدیه ۱ را به همین شماره ارسال نمایید.",Spam
112,شهرزاد رو با ترافیک رایگان ببین و ۲۰۶ برنده شو تماشای فصل سوم شهرزاد در فیلم نت عضویت در فیلم نت با ارسال ۱ به ۲۰۷۳۳۳,Spam
113,تبریک!با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی مجانی بگیر!(فقط تا 3 روز دیگر),Spam
114,تبریک!با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی مجانی بگیر!(فقط تا4 روز دیگر),Spam
115,"#بانه تجارت
بورس انواع کولرگازی ولوازم خانگی*ارسال*گارانتی
۰۹۱۸۱۷۶۰۵۷۴",Spam
116,"همايش رايگان وشاد موفقيت
دکترسليمي
دررشت
رزرو با ارسال 8
به 10006511",Spam
117,"آخرین واحدهای مسکن مهر رشت -تمام اقساط- آریانورپویا
02126208619",Spam
118,"شارژ ۱۰۰۰۰ ریالی رایگان! 
هدیه بازی چالشی صعود به همه مشترکین منتخبی که امروز این پیام را دریافت میکنند. با ارسال ۱ به همین شماره",Spam
119,"sepehr_khiyabani:
تورهوایی مشهد
۲۵اردیبهشت
۴۲۰ت
0413120
T.me/markazetour
Markazetour.ir",Spam
120,تبریک!با1دقیقه صحبت،100دقیقه مکالمه ایرانسلی رایگان هدیه بگیرید.,Spam
121,"سيرک بين المللي ستارگان
رشت ميدان شهيد قليپور
09300232255
09300232211",Spam
122,"🔵خرید و فروش بازی های کارکردهPS4
در کل کشور
Crocogame

bit.ly/2L9io9",Spam
123,"وشنبه 6 فروردين
17:30-Star Wars: The Last Jedi (2017)",Spam
124,"نوروز نود""هفت""ساز مبارك. 
www.haftsaz.com 
هفت ساز 
""كنسرت و تئاتر""",Spam
125,"كنسرت احسان خواجه اميري
5 فرودين،تالارمجلل
iranconcert.com
09115544100",Spam
126,"هدیه دیجی‌کالا ویژه شما
کد تخفیف ۳۰ هزار تومانی برای خریدهای بالای ۳۰۰ هزار تومان
معتبر فقط تا فردا
دریافت کد:
http://dgka.la/tvr3",Spam
127,"پوشاک ° 361

تمدید حراج تا 29 اسفند.
گلسار.بلوار گیلان.
01333772710",Spam
128,"چهارشنبه ۲۳ اسفند
۱۹:۰۰-Three Billboards Outside Ebbing, Missouri (2017)",Spam
129,"پوشاك آلماجين

كلكسيون بهاره مردانه و زنانه
در فروشگاه:

جمهورى 02166496358

ونك 02188773359

قائم مقام 02188822952

كرج 02632233855",Spam
130,"پوشاك آلماجين

كلكسيون بهاره مردانه و زنانه
در فروشگاه:

جمهورى 02166496358

ونك 02188773359

قائم مقام 02188822952

كرج 02632233855",Spam
131,"دوشنبه ۲۱ اسفند
 19:00-The Shape of Water (2017)",Spam
132,"آپ شما را به تماشاي فيلم پرافتخار سينماي ايران ""بدون تاريخ،بدون امضا"" دعوت مي كند.
خريد بليت از:
http://yon.ir/APAP",Spam
133,"دیجی‌کالا
ارسال کالا در کمتر از ۲۴ ساعت در تهران
http://dgka.la/24te",Spam
134,"تئاترموزيكال اليورتوئيست
3اجراي پاياني
خريد آنلاين:
irannamayesh.com",Spam
135,"كنسرت هوروش بند
20 اسفند
خريد باانتخاب صندلي:
https://goo.gl/sKggh2",Spam
136,"يكشنبه 20 اسفند
19:00-The Shape of Water (2017)",Spam
137,"ميلاد حضرت فاطمه زهرا(س) و روز مادر مبارك باد
هفت ساز
www.haftsaz.com",Spam
138,"کانال رسمی بانک تجارت در تلگرام
https://t.me/tejaratbank2",Spam
139,"مشتري گرامي:
با نصب اپليکيشن ماناپي، علاوه بر خريد راحت و سريع شارژ، از خدمات موجودي و کارت به کارت بانکهاي عضو شتاب بهره مند شويد.
لينک نصب:
http://bit.ly/2E3nrkV
بانک پاسارگاد بانک هزاره سوم",Spam
140,"كنسرت هوروش بند
20 اسفند
خريد از:
02122655457
https://goo.gl/sKggh2",Spam
141,"مشترک عزیز لنز! 
جدیدترین نسخه اپلیکیشن لنز رامیتوانید با مراجعه به لینک زیر دریافت و نصب کنید: 
http://i3l.ir/getlenz 
در نسخه جدید میتوانید با اینترنت رایگان و با کیفیت بسیار بیشتر، به جدیدترین محتوای لنز شامل سریال گلشیفته، سورپرایزشو، استندتاپ و... دسترسی داشته باشید. ",Spam
142,"‼️هفته آخر حراج پوشاك آلماجين‼️

٥٠٪‏ تا ٧٠٪‏ تخفيف

امور مشتركين :

☎️ 02166496358


t.me/almajean1970


Instagram.com/almajean1970",Spam
143,"دوشنبه ۱۴ اسفند
19:00-Loving Vincent (2017)",Spam
144,"سفر رایگان می‌خوای
دوستاتو اسنپی کن. به هر کدوم ۸ هزار تومن اعتبار هدیه بده و به ‌ازای هر نفر یه سفر مجانی برو.
به «سفر رایگان» تو اپ سر بزن
http://bit.ly/snp-rfr",Spam
145,"كنسرت موسيقي محلي ديلمون
رشت-15 اسفند-مجتمع خاتم
www.haftsaz.com",Spam
146,"نمايش هملت و دن كيشوت
تئاتر شهر
خريد آنلاين:
https://goo.gl/asaoE8",Spam
147,"نمايشنامه خواني روزميگذرد...
محمدرحمانيان
19 اسفند
irannamayesh.com",Spam
148," پوشاک ° 361
20تا 40 درصد تخفیف. فقط تا 18 اسفند.
رشت. گلسار.3377271",Spam
149,"CUT
روز پدر مبارك
به مناسبت همزماني
روز پدر و نوروز
فروش ويژه تاپايان تعطيلات
تمديدشد.
فروشگاه هاي تهران
10-22
شهرستانها
10-14
17-22",Spam
150,"جين وست
روز مردان خوشتيپ مبارك باخريد۴كالا+۴كالاهديه
در New Spring2018",Spam
151,"ECUT
روز پدر مبارك
به مناسبت همزماني
روز پدر و نوروز
فروش ويژه تاپايان تعطيلات
تمديدشد.
فروشگاه هاي تهران
10-22
شهرستانها
10-14
17-22",Spam
152,"*جين وست*
نوروزتان پيروزباهر200هزارتومان خريد،يك قرعه
هرشب قرعه كشي درشعب آمل ونمك آبرود(1-13عيد)
به اميدديدارتان
http://bnmd.ir/FP",Spam
153,"ECUT
سال نو مبارك
به مناسبت همزماني
روز پدر و نوروز
فروش ويژه تاپايان تعطيلات
تمديدشد.
فروشگاه هاي تهران
10-22
شهرستانها
10-14
17-22",Spam
154,"گلشیفته با اینترنت رایگان اکنون در لنز!
شایدبرنده بعدی شماباشید؛ لنز ببینید و در قرعه کشی بزرگ جوایز نوروزی شرکت کنید:
سفر به اسپانیا، خودروی ساندرو، آیفون 10
اطلاعات بیشتر، دانلود و نصب رایگان: http://i3l.ir/LenzPro",Spam
155,"♦️ECUT♦️
30-50% تخفيف
كليه كالاها
https://t.me/ECUTStores",Spam
156,"*جين وست*
فرصت آخر باخريد4كالا+4كالاهديه
نوروزتان پيروز",Spam
157,"♦️ECUT♦️
30-50% تخفيف
كليه كالاها
https://t.me/ECUTStores",Spam
158,"♦️ECUT♦️
30-50% تخفيف
كليه كالاها
https://t.me/ECUTStores",Spam
159,"بیمه عمر بخرید، ساندرو ببرید

تا پایان امسال فرصت دارید در جشنواره بیمه عمر دی شرکت کنید تا علاوه بر استفاده از تسهیلات استثنایی بیمه دی، شانس خود را در قرعه کشی دو دستگاه خودرو ساندرو امتحان کنید. 

مشاوره از طریق http://dayfestival.ir/",Spam
160,"*جين وست*
باخريد4كالا+4كالاهديه درحراج تا 70%
فستيوال نوروزي",Spam
161,"*بالنو*
شروع قيمت از10000
Outlet is here
اكباتان مگامال ط2
02144632464",Spam
162,"KOTON
ادامه حراج تا50%
و
كالكشن جديد
instagram.com/kotoniran",Spam
163,"*جين وست*
باخريد4كالا+2كالاهديه
درحراج تا70%
Happy Ladies' Day",Spam
164,"سفر رایگان می‌خوای
دوستاتو اسنپی کن. به هر کدوم ۸ هزار تومن اعتبار هدیه بده و به ‌ازای هر نفر یه سفر مجانی برو.
به «سفر رایگان» تو اپ سر بزن
http://bit.ly/snp-rfr",Spam
165,فروش فوق العاده-بدون افزایش قیمت مسکن مهر رشت-آریانورپویا-02126208619,Spam
166,"دیجی‌کالا
کدهای تخفیف ویژه جشنواره مهر زمستانی
تنها تا پایان فردا
مشاهده کدها:
http://dgka.la/win",Spam
167,"قسمت هفتم استندتاپ، بزرگترین استندآپ کمدی هم اکنون در لنز 
با داوری مریم سعادت،علی مسعودی و الیکا عبدالرزاقی 
لینک مستقیم برنامه: http://app.lenz.ir:64004/video/10031 ",Spam
168,"مارال چرم
تا50%تخفیف+5%اعتبار
گلسار،نبش خ 108
https://t.me/mlco_ir",Spam
169,"پيشنهاد شگفت انگيز
تا حالا شده تا 90% هزینه خریداتو کم کنی؟!
هر روز 3 پیشنهاد شگفت انگیز با ارسال 1 و عضویت درسرویس کافه تخفیف
120تومان",Spam
